date,boss_rewards,weekly_boss_tier_total,log_ratio,week_contains_month_start,S4
2025-08-21,411.29160905410714,424.03930776514744,-0.030523683935407657,0,0
2025-08-28,435.39661178255295,424.03930776514744,0.02643120899206464,1,0
2025-09-04,426.3572357593858,421.0945903501117,0.012420087838963652,0,0
2025-09-11,409.78504638357924,418.14987293507596,-0.020207170849630293,0,0
2025-09-18,409.78504638357924,421.0945903501117,-0.02722474350827676,0,0
2025-09-25,391.7062943372449,394.59213361479,-0.0073403484797504555,1,0
2025-10-02,397.73254501935634,388.70269878471845,0.022965001015578593,0,0
2025-10-09,378.1472303024941,385.75798136968274,-0.019926563613734512,0,0
2025-10-16,367.60129160879904,376.9238291245755,-0.02504421817078213,0,0
2025-10-23,314.8715981403238,320.9741982388963,-0.01919580980869944,0,0
2025-10-30,320.89784882243526,300.3611763336461,0.06613717288078728,1,0
2025-11-06,296.7928460939894,297.4164589186104,-0.0020989676476378385,0,0
2025-11-13,293.77972075293366,300.3611763336461,-0.022155434264891073,0,0
2025-11-20,275.70096870659927,282.6928718434316,-0.025044218170782017,0,0
2025-11-27,269.67471802448785,273.8587195983244,-0.01539586685686773,1,0
2025-12-04,278.714094047655,270.91400218328863,0.028385068484917685,0,0
2025-12-11,278.714094047655,279.7481544283959,-0.0037032460665828663,0,0
2025-12-18,293.77972075293366,297.4164589186104,-0.012303137821879527,0,0
2025-12-25,323.91097416349095,318.0294808238606,0.018324621459076127,0,0
2026-01-01,345.0028515508811,323.91891565393206,0.06305945821745661,1,0
2026-01-08,326.9240995045467,326.86363306896783,0.00018497268375861653,0,0
2026-01-15,351.02910223299256,341.58722014414656,0.02726608291496912,0,0
2026-01-22,360.0684782561597,350.4213723892538,0.027157879275614367,0,0
2026-01-29,388.6931689961892,353.3660898042895,0.0952856625952046,1,0
2026-02-05,375.13410496143837,356.3108072193253,0.051480171323599576,0,0
2026-02-12,375.13410496143837,365.14495946443253,0.026989151315303918,0,0
2026-02-19,382.6669183140777,371.034394294504,0.03087018052269176,0,0
2026-02-26,430.87692377096937,373.9791117095397,0.14162254481689462,1,0
2026-03-05,396.2259823488285,373.9791117095397,0.057784766174806663,0,0
2026-03-12,396.2259823488285,382.81326395464697,0.034437402177815414,0,0
2026-03-19,430.87692377096937,421.0945903501117,0.022965001015578593,0,0
2026-03-26,438.4097371236087,421.0945903501117,0.04029645736721834,1,0
2026-04-02,462.51473985205456,424.03930776514744,0.08685226846682978,0,0
2026-04-09,444.4359878057202,432.8734600102547,0.02636059001671679,0,0
2026-04-16,450.4622384878316,435.8181774252904,0.03304912008220462,0,0
2026-04-23,444.4359878057202,438.76289484032617,0.012846870849993914,0,0
2026-04-30,509.21818263841834,447.5970470854334,0.1289831950923755,1,0
2026-05-07,461.00817718152666,456.4311993305406,0.009977805488767418,0,0
2026-05-14,450.4622384878316,459.3759167455764,-0.019594613403217515,0,0
2026-05-21,461.00817718152666,468.2100689906836,-0.01550127981221756,0,0
2026-05-28,534.829748037392,479.9889386508266,0.10818540912428666,1,0
2026-06-04,515.2444333205298,488.82309089593383,0.05264076916169504,0,0
2026-06-11,503.1919319563069,506.4913953861483,-0.006535663381119418,0,0
2026-06-18,662.8875750322605,609.5565049123994,0.08387375410257086,0,1
2026-06-25,875.3129115766895,680.2297228732573,0.2521508667857509,1,1
2026-07-02,834.6357194724372,724.4004840987935,0.14165097127055426,0,1
2026-07-09,804.5044660618798,753.847658249151,0.06503621493626549,0,1
2026-07-16,825.59634344927,783.2948323995084,0.05259679862194971,0,1
2026-07-23,876.8194742472174,815.6867239649016,0.07227076199973254,0,1
2026-07-30,1104.310437496925,842.1891807002233,0.2709717115224321,1,1
2026-08-06,965.7066718083614,868.6916374355451,0.10587192103648346,0,1
2026-08-13,965.7066718083614,895.1940941708668,0.07581957597008145,0,1
2026-08-20,995.8379252189187,945.2542902264745,0.05213053717730347,0,1
