x_pixel,y_pixel,rgb_distance,status
1087,755,26.645825188948457,light_cyan_observed
1088,754,15.165750888103101,light_cyan_observed
1089,754,11.180339887498949,light_cyan_observed
1090,754,5.385164807134504,light_cyan_observed
1091,753,7.54983443527075,light_cyan_observed
1092,751,5.744562646538029,light_cyan_observed
1093,749,2.23606797749979,light_cyan_observed
1094,748,3.1622776601683795,light_cyan_observed
1095,747,3.0,light_cyan_observed
1096,747,6.324555320336759,light_cyan_observed
1097,748,10.198039027185569,light_cyan_observed
1098,749,8.06225774829855,light_cyan_observed
1099,751,6.0,light_cyan_observed
1100,755,6.782329983125268,light_cyan_observed
1101,758,3.7416573867739413,light_cyan_observed
1102,761,7.0,light_cyan_observed
1103,763,6.782329983125268,light_cyan_observed
1104,765,9.486832980505138,light_cyan_observed
1105,767,7.14142842854285,light_cyan_observed
1106,769,6.0,light_cyan_observed
1107,770,7.0,light_cyan_observed
1108,772,4.69041575982343,light_cyan_observed
1109,773,2.0,light_cyan_observed
1110,772,4.898979485566356,light_cyan_observed
1111,772,8.06225774829855,light_cyan_observed
1112,773,12.12435565298214,light_cyan_observed
1113,773,9.0,light_cyan_observed
1114,773,5.830951894845301,light_cyan_observed
1115,774,4.242640687119285,light_cyan_observed
1116,775,2.449489742783178,light_cyan_observed
1117,775,2.23606797749979,light_cyan_observed
1118,775,6.4031242374328485,light_cyan_observed
1119,775,10.488088481701515,light_cyan_observed
1120,775,12.449899597988733,light_cyan_observed
1121,775,9.9498743710662,light_cyan_observed
1122,774,12.449899597988733,light_cyan_observed
1123,774,9.433981132056603,light_cyan_observed
1124,774,4.242640687119285,light_cyan_observed
1125,773,5.744562646538029,light_cyan_observed
1126,773,7.0710678118654755,light_cyan_observed
1127,772,4.358898943540674,light_cyan_observed
1128,771,3.3166247903554,light_cyan_observed
1129,770,5.744562646538029,light_cyan_observed
1130,769,4.242640687119285,light_cyan_observed
1131,767,8.12403840463596,light_cyan_observed
1132,765,5.196152422706632,light_cyan_observed
1133,765,5.744562646538029,light_cyan_observed
1134,764,2.8284271247461903,light_cyan_observed
1135,763,4.0,light_cyan_observed
1136,762,5.0990195135927845,light_cyan_observed
1137,761,8.12403840463596,light_cyan_observed
1138,761,7.874007874011811,light_cyan_observed
1139,761,7.874007874011811,light_cyan_observed
1140,761,6.4031242374328485,light_cyan_observed
1141,760,3.1622776601683795,light_cyan_observed
1142,758,4.58257569495584,light_cyan_observed
1143,758,3.4641016151377544,light_cyan_observed
1144,758,2.0,light_cyan_observed
1145,758,2.8284271247461903,light_cyan_observed
1146,758,1.4142135623730951,light_cyan_observed
1147,756,3.0,light_cyan_observed
1148,756,5.196152422706632,light_cyan_observed
1149,757,5.196152422706632,light_cyan_observed
1150,756,6.0,light_cyan_observed
1151,756,4.58257569495584,light_cyan_observed
1152,756,13.152946437965905,light_cyan_observed
1153,756,11.445523142259598,light_cyan_observed
1154,754,4.58257569495584,light_cyan_observed
1155,754,12.206555615733702,light_cyan_observed
1156,755,18.681541692269406,light_cyan_observed
1157,755,17.72004514666935,light_cyan_observed
1158,753,14.035668847618199,light_cyan_observed
1159,752,10.246950765959598,light_cyan_observed
1160,751,12.409673645990857,light_cyan_observed
1161,751,8.660254037844387,light_cyan_observed
1162,750,5.0990195135927845,light_cyan_observed
1163,749,8.48528137423857,light_cyan_observed
1164,748,7.3484692283495345,light_cyan_observed
1165,747,7.0,light_cyan_observed
1166,745,6.48074069840786,light_cyan_observed
