date,new_w,V3_w,interpretation
2024-08-22,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-08-29,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-09-05,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-09-12,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-09-19,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-09-26,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-10-03,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-10-10,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-10-17,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-10-24,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-10-31,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-11-07,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-11-14,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-11-21,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-11-28,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-12-05,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-12-12,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-12-19,0.4220032654183185,,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2024-12-26,0.3290537986155507,0.036270841253413774,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-01-02,0.3594959358025408,0.13137148054968212,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-01-09,0.35719703674681863,0.18840619708622092,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-01-16,0.4181206539553031,0.20778806366367136,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-01-23,0.42246626720589986,0.2620451315104601,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-01-30,0.46634303385889714,0.288451131322822,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-02-06,0.4857042959484089,0.32980898150107935,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-02-13,0.5371162658936074,0.35018686256507314,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-02-20,0.6123109721335687,0.3470340737508408,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-02-27,0.5232717234092111,0.25540152154504464,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-03-06,0.49514317388673235,0.28441545709134913,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-03-13,0.5098060905886217,0.39756497642203903,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-03-20,0.5494634696544455,0.4865441120729308,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-03-27,0.5740502168666167,0.5679001050974641,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-04-03,0.5639932185699524,0.6382863262401808,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-04-10,0.47202670727161183,0.6333731408947312,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-04-17,0.2194335266948402,0.6854948253278809,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-04-24,0.10310302346350252,0.7508738327967441,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-05-01,0.09630348592713804,0.6342559344411575,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-05-08,0.11059846811852533,0.6812020124053567,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-05-15,0.27158001310165214,0.6464937581883876,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-05-22,,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-05-29,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-06-05,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-06-12,0.0,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-06-19,,0.0,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-06-26,0.3567780465590778,0.08800980077492465,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-07-03,0.38329144239048873,0.23142237134226548,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-07-10,0.43436729960710946,0.27687034757562234,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-07-17,0.5902777817853354,0.3842980328456005,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
2025-07-24,0.6725704151822739,0.35936313637292,different estimands: actual A mean versus V3 incumbent/A_eff; comparison only
