truth,replicate,mean_abs_share_error,max_abs_share_error,success
model_truth,0,0.033043114368920906,0.06528981340625978,True
model_truth,1,0.02181496467409494,0.04991343478897675,True
model_truth,2,0.016236639735729204,0.0441309516758453,True
model_truth,3,0.027092869315440925,0.059963167176578874,True
model_truth,4,0.02906869574320173,0.06713069003339109,True
model_truth,5,0.03626217118927495,0.09054452769168081,True
model_truth,6,0.035032835782641554,0.11586361989077237,True
model_truth,7,0.014772464207435094,0.06052041166488131,True
equivalent_split,0,0.10745918720931824,0.1796175308616877,True
equivalent_split,1,0.08156382784345682,0.14031416679564707,True
equivalent_split,2,0.08831527717790513,0.1694186397938512,True
equivalent_split,3,0.09598113402140646,0.16036654770500025,True
equivalent_split,4,0.10300283788719361,0.13939454311568997,True
equivalent_split,5,0.11186923060119504,0.1818361548806112,True
equivalent_split,6,0.12623734747361864,0.18419073271732178,True
equivalent_split,7,0.10194004010348467,0.16078504914972086,True
