date,joint_challenger_share,v3_implied_challenger_share,note
2023-12-28,0.0,0.0,Comparator only; never used in fitting
2024-01-04,0.0,0.0,Comparator only; never used in fitting
2024-01-11,0.0,0.0,Comparator only; never used in fitting
2024-01-18,0.0,0.0,Comparator only; never used in fitting
2024-01-25,0.0,0.0,Comparator only; never used in fitting
2024-02-01,0.0,0.0,Comparator only; never used in fitting
2024-02-08,0.0,0.0,Comparator only; never used in fitting
2024-02-15,0.0,0.0,Comparator only; never used in fitting
2024-02-22,0.0,0.0,Comparator only; never used in fitting
2024-02-29,0.0,0.0,Comparator only; never used in fitting
2024-03-07,0.0,0.0,Comparator only; never used in fitting
2024-03-14,0.0,0.0,Comparator only; never used in fitting
2024-03-21,0.0,0.0,Comparator only; never used in fitting
2024-03-28,0.0,0.0,Comparator only; never used in fitting
2024-04-04,0.0,0.0,Comparator only; never used in fitting
2024-04-11,0.0,0.0,Comparator only; never used in fitting
2024-04-18,0.0,0.0,Comparator only; never used in fitting
2024-04-25,0.0,0.0,Comparator only; never used in fitting
2024-05-02,0.0,0.0,Comparator only; never used in fitting
2024-05-09,0.0,0.0,Comparator only; never used in fitting
2024-05-16,0.0,0.0,Comparator only; never used in fitting
2024-05-23,0.0,0.0,Comparator only; never used in fitting
2024-05-30,0.0,0.0,Comparator only; never used in fitting
2024-06-06,0.0,0.0,Comparator only; never used in fitting
2024-06-13,0.0,0.0,Comparator only; never used in fitting
2024-06-20,0.0,0.0,Comparator only; never used in fitting
2024-06-27,0.0,0.0,Comparator only; never used in fitting
2024-07-04,0.0,0.0,Comparator only; never used in fitting
2024-07-11,0.0,0.0,Comparator only; never used in fitting
2024-07-18,0.0,0.0,Comparator only; never used in fitting
2024-07-25,0.0,0.0,Comparator only; never used in fitting
2024-08-01,0.0,0.0,Comparator only; never used in fitting
2024-08-08,0.0,0.0,Comparator only; never used in fitting
2024-08-15,0.0,0.0,Comparator only; never used in fitting
2024-08-22,0.0,0.0,Comparator only; never used in fitting
2024-08-29,0.0,0.0,Comparator only; never used in fitting
2024-09-05,0.0,0.0,Comparator only; never used in fitting
2024-09-12,0.0,0.0,Comparator only; never used in fitting
2024-09-19,0.0,0.0,Comparator only; never used in fitting
2024-09-26,0.0,0.0,Comparator only; never used in fitting
2024-10-03,0.0,0.0,Comparator only; never used in fitting
2024-10-10,0.0,0.0,Comparator only; never used in fitting
2024-10-17,0.0,0.0,Comparator only; never used in fitting
2024-10-24,0.0,0.0,Comparator only; never used in fitting
2024-10-31,0.0,0.0,Comparator only; never used in fitting
2024-11-07,0.0,0.0,Comparator only; never used in fitting
2024-11-14,0.0,0.0,Comparator only; never used in fitting
2024-11-21,0.0,0.0,Comparator only; never used in fitting
2024-11-28,0.0,0.0,Comparator only; never used in fitting
2024-12-05,0.0,0.0,Comparator only; never used in fitting
2024-12-12,0.0,0.0,Comparator only; never used in fitting
2024-12-19,0.14296008566177734,nan,Comparator only; never used in fitting
2024-12-26,0.2374086473678509,0.03100924338632911,Comparator only; never used in fitting
2025-01-02,0.2506955797359851,0.11304741875087412,Comparator only; never used in fitting
2025-01-09,0.24980201448088918,0.15351913963874866,Comparator only; never used in fitting
2025-01-16,0.24245734316650855,0.15871760437912,Comparator only; never used in fitting
2025-01-23,0.2351444044813061,0.18175815529995581,Comparator only; never used in fitting
2025-01-30,0.23154446802321463,0.18803221520207003,Comparator only; never used in fitting
2025-02-06,0.22722622438281537,0.19923815881066786,Comparator only; never used in fitting
2025-02-13,0.2148862279393191,0.19465640523171504,Comparator only; never used in fitting
2025-02-20,0.2030851657201236,0.17638398930459293,Comparator only; never used in fitting
2025-02-27,0.22306381278193355,0.15097975702780125,Comparator only; never used in fitting
2025-03-06,0.2127069171769666,0.1565274523267805,Comparator only; never used in fitting
2025-03-13,0.20342245694877736,0.19571063563863322,Comparator only; never used in fitting
2025-03-20,0.19491582432916785,0.21540115280050814,Comparator only; never used in fitting
