0,1,2
보스,기존 가격,변경 가격
파풀라투스 (카오스),17300000,13800000
스우 (노멀),22000000,17600000
데미안 (노멀),23000000,18400000
가디언 엔젤 슬라임 (노멀),33500000,26800000
루시드 (이지),39200000,31400000
윌 (이지),42500000,34000000
루시드 (노멀),46900000,37500000
윌 (노멀),54100000,43300000
더스크 (노멀),57900000,46300000
듄켈 (노멀),62500000,50000000
데미안 (하드),73500000,51500000
스우 (하드),77400000,54200000
루시드 (하드),94500000,66200000
더스크 (카오스),105000000,73500000
진 힐라 (노멀),107000000,74900000
가디언 엔젤 슬라임 (카오스),113000000,79100000
윌 (하드),116000000,81200000
듄켈 (하드),142000000,99400000
진 힐라 (하드),160000000,112000000
선택받은 세렌 (노멀),295000000,266000000
감시자 칼로스 (이지),345000000,311000000
최초의 대적자 (이지),361000000,324000000
선택받은 세렌 (하드),440000000,396000000
카링 (이지),381000000,419000000
감시자 칼로스 (노멀),510000000,561000000
최초의 대적자 (노멀),530000000,589000000
스우 (익스트림),549000000,604000000
카링 (노멀),595000000,714000000
림보 (노멀),900000000,1080000000
감시자 칼로스 (카오스),1120000000,1340000000
발드릭스 (노멀),1200000000,1440000000
최초의 대적자 (하드),1260000000,1510000000
카링 (하드),1310000000,1830000000
림보 (하드),1930000000,2510000000
선택받은 세렌 (익스트림),2420000000,3150000000
발드릭스 (하드),2160000000,3240000000
감시자 칼로스 (익스트림),2700000000,4320000000
최초의 대적자 (익스트림),2920000000,4960000000
카링 (익스트림),3150000000,5670000000
검은 마법사 (하드),1000000000,700000000
