model,term,coefficient,hac_se,ci_lower,ci_upper,p_value,n,df,hac_lag_weeks
low2_new_menu_adjusted_HAC4,intercept,-0.0001885475962754439,0.007303724053021344,-0.014762902027816393,0.014385806835265504,0.9794802933839695,76,68,4
low2_new_menu_adjusted_HAC4,dlog_A,-0.09006360191052286,0.14310330011521552,-0.3756217912755162,0.19549458745447046,0.5312217230387416,76,68,4
low2_new_menu_adjusted_HAC4,dlog1p_C_100k,0.3452695089770627,0.21203477365218146,-0.07783929422862457,0.76837831218275,0.1080727823732974,76,68,4
low2_new_menu_adjusted_HAC4,reward_pulse,-0.22913346872341492,0.0402612238918946,-0.30947349014103154,-0.1487934473057983,2.920472265537249e-07,76,68,4
low2_new_menu_adjusted_HAC4,growth_pulse,0.026854725811387162,0.012642730637323504,0.0016265496161718858,0.05208290200660244,0.03729927906596883,76,68,4
low2_new_menu_adjusted_HAC4,upper_fixed_menu_change,0.02829024640982522,0.015503614690483286,-0.0026467350298934843,0.05922722784954393,0.07243129576889372,76,68,4
low2_new_menu_adjusted_HAC4,main_new_boss_menu_change,0.1010473436029603,0.11570341611375923,-0.12983522851234536,0.33192991571826597,0.38555654491201335,76,68,4
low2_new_menu_adjusted_HAC4,shared_easy_adversary_menu_change,-0.11700987492837751,0.11654695841648616,-0.34957570950112155,0.11555595964436653,0.3189514412233254,76,68,4
tier3_new_menu_adjusted_HAC4,intercept,0.04158295587029466,0.023932059793109715,-0.006172725911977102,0.08933863765256642,0.08681883683330534,76,68,4
tier3_new_menu_adjusted_HAC4,dlog_A,0.37145969930589623,0.6608744844428145,-0.9472948019744554,1.690214200586248,0.5759144169608913,76,68,4
tier3_new_menu_adjusted_HAC4,dlog1p_C_100k,-0.7444431588055253,0.758182729992875,-2.257373240852969,0.7684869232419186,0.3296404358477726,76,68,4
tier3_new_menu_adjusted_HAC4,reward_pulse,0.03945643045996499,0.050073359804344464,-0.060463403321912336,0.13937626424184232,0.4334510522259933,76,68,4
tier3_new_menu_adjusted_HAC4,growth_pulse,0.1496281134589859,0.08942277331119129,-0.02881225244579011,0.32806847936376193,0.09886961430516925,76,68,4
tier3_new_menu_adjusted_HAC4,upper_fixed_menu_change,-1.1397593632640113,0.27419191491090983,-1.686900810717987,-0.5926179158100354,9.24041442162361e-05,76,68,4
tier3_new_menu_adjusted_HAC4,main_new_boss_menu_change,-0.7356611584563012,0.5004065073045599,-1.7342067968678716,0.2628844799552692,0.14613937312289402,76,68,4
tier3_new_menu_adjusted_HAC4,shared_easy_adversary_menu_change,1.4931578013333389,0.46840908995947234,0.5584620151198851,2.4278535875467924,0.00216770572189276,76,68,4
tier4_new_menu_adjusted_HAC4,intercept,0.02695877440426992,0.010793777216868937,0.005420127315232674,0.04849742149330717,0.01492789355962224,76,68,4
tier4_new_menu_adjusted_HAC4,dlog_A,0.3223330435846494,0.24465317023489008,-0.1658647565948903,0.8105308437641892,0.1920896232367331,76,68,4
tier4_new_menu_adjusted_HAC4,dlog1p_C_100k,-0.19622776160335115,0.1753492096894293,-0.5461316616893842,0.1536761384826819,0.26704844192126725,76,68,4
tier4_new_menu_adjusted_HAC4,reward_pulse,0.39826443493720964,0.1781130224085898,0.042845432437801145,0.7536834374366181,0.028635592030423145,76,68,4
tier4_new_menu_adjusted_HAC4,growth_pulse,0.0026610763108780478,0.01881728077833705,-0.03488822285628552,0.04021037547804162,0.887958945454941,76,68,4
tier4_new_menu_adjusted_HAC4,upper_fixed_menu_change,-0.01641340754072957,0.02823927169367341,-0.07276399685166107,0.03993718177020194,0.5630096032335798,76,68,4
tier4_new_menu_adjusted_HAC4,main_new_boss_menu_change,-0.11095682771018793,0.13432033610770017,-0.37898888527231783,0.15707522985194194,0.41165830025593303,76,68,4
tier4_new_menu_adjusted_HAC4,shared_easy_adversary_menu_change,0.898577700769643,0.1391328529605519,0.6209424153456651,1.176212986193621,1.322117426604116e-08,76,68,4
