0,1,2
보스,기존 가격,변경 가격
반 레온 (하드),1390000,1070000
아카이럼 (노멀),1430000,1110000
매그너스 (노멀),1480000,1160000
파풀라투스 (노멀),1520000,1200000
힐라 (하드),5750000,1280000
핑크빈 (카오스),6580000,1320000
시그너스 (노멀),7500000,1360000
파풀라투스 (카오스),13800000,13100000
스우 (노멀),17600000,16700000
데미안 (노멀),18400000,17500000
가디언 엔젤 슬라임 (노멀),26800000,25500000
루시드 (이지),31400000,29800000
윌 (이지),34000000,32300000
루시드 (노멀),37500000,35600000
윌 (노멀),43300000,41100000
더스크 (노멀),46300000,44000000
듄켈 (노멀),50000000,47500000
데미안 (하드),51500000,48900000
스우 (하드),54200000,51500000
루시드 (하드),66200000,62900000
더스크 (카오스),73500000,69800000
진 힐라 (노멀),74900000,71200000
가디언 엔젤 슬라임 (카오스),79100000,75100000
윌 (하드),81200000,77100000
듄켈 (하드),99400000,94400000
진 힐라 (하드),112000000,106000000
선택받은 세렌 (노멀),266000000,239000000
감시자 칼로스 (이지),311000000,280000000
최초의 대적자 (이지),324000000,308000000
선택받은 세렌 (하드),396000000,356000000
카링 (이지),419000000,377000000
감시자 칼로스 (노멀),561000000,505000000
최초의 대적자 (노멀),589000000,560000000
스우 (익스트림),604000000,574000000
찬란한 흉성 (노멀),658000000,625000000
카링 (노멀),714000000,678000000
림보 (노멀),1080000000,1026000000
감시자 칼로스 (카오스),1340000000,1273000000
발드릭스 (노멀),1440000000,1368000000
최초의 대적자 (하드),1510000000,1435000000
유피테르 (노멀),1700000000,1615000000
카링 (하드),1830000000,1739000000
림보 (하드),2510000000,2385000000
찬란한 흉성 (하드),2819000000,2678000000
선택받은 세렌 (익스트림),3150000000,2835000000
발드릭스 (하드),3240000000,3078000000
감시자 칼로스 (익스트림),4320000000,4104000000
최초의 대적자 (익스트림),4960000000,4712000000
유피테르 (하드),5100000000,4845000000
카링 (익스트림),5670000000,5387000000
검은 마법사 (하드),700000000,665000000
검은 마법사 (익스트림),9200000000,8740000000
